tweet_id,bert_pred,airline_sentiment
568392783922372608,positive,positive
569238877178716161,negative,negative
569304436612444160,neutral,positive
570086399627685888,neutral,positive
569262527281913857,positive,positive
570196424043814912,negative,neutral
567946319349706753,negative,negative
570243296741752832,neutral,neutral
570003828658950145,positive,positive
569873664612704256,positive,neutral
567855171335626752,neutral,neutral
568910590921609216,negative,positive
570175202807586816,negative,negative
570275123854487552,negative,negative
568795484283736064,negative,neutral
570079237350100993,negative,negative
570039279050579968,neutral,neutral
570260984704700417,negative,negative
570051191943483392,negative,neutral
570033778300620801,neutral,neutral
568478510538493952,positive,positive
570023071698055168,negative,negative
569609971383586817,negative,negative
570241830757007360,negative,negative
569229785500680192,negative,negative
570290540274688001,negative,neutral
570283571941924864,negative,negative
568543525505089536,positive,positive
568240364315783168,neutral,negative
569970225443172353,negative,negative
569777607371128834,positive,positive
570163259560452097,negative,negative
567806467974365184,negative,positive
570041988986347521,positive,negative
569913339427434496,neutral,neutral
570085628576202752,negative,negative
570115452568891392,negative,negative
570057930332102656,positive,positive
568423029371334656,negative,negative
568923762764095488,positive,positive
569920824905306113,negative,neutral
568451468560187393,neutral,positive
570033341250056193,negative,negative
570254368538173440,negative,negative
570096448571731968,negative,negative
568526847320784896,negative,negative
570228446053470208,negative,negative
569915941192015872,neutral,neutral
570004470370676737,negative,neutral
570010976608780288,negative,negative
567785191901376512,negative,negative
570100438487314432,negative,negative
568239036533497856,neutral,positive
570083397873373184,negative,negative
570122958695477248,positive,positive
569572740723712001,negative,negative
570066805810601985,negative,negative
570272406570442752,neutral,neutral
568874645564362752,positive,positive
570067181733580800,negative,negative
570276377401827329,negative,negative
568828112626012160,neutral,neutral
570235686470746112,negative,negative
569940834994401280,positive,neutral
570100214733737985,positive,negative
567893201719156736,positive,positive
570286882623369217,negative,negative
568104264733573122,negative,negative
570043820278050817,negative,negative
569973088076460032,negative,negative
569980415919853569,neutral,negative
567742148603170816,neutral,neutral
570013523650048002,neutral,neutral
567742578561650688,positive,positive
569020707113476096,positive,positive
569995961570856960,negative,negative
569976131748823040,negative,negative
567811428779868160,neutral,neutral
569988078015815680,negative,neutral
569894449620369408,negative,negative
570237261494792192,negative,negative
569935232033366017,neutral,negative
570115302991777792,negative,negative
568476562376531969,positive,neutral
570271205300703232,negative,neutral
570058190647271424,negative,positive
569198104806699008,positive,positive
570235387009839104,negative,negative
570247027117797376,negative,negative
568977175149293570,neutral,neutral
570200756827000832,negative,negative
570201707621146624,negative,negative
570289584061480960,positive,positive
569674358135914496,neutral,neutral
570069236971806720,negative,neutral
568093957080551424,neutral,positive
570039094257938432,neutral,neutral
568791035297468416,positive,positive
569277854950817792,negative,negative
569022319437357056,negative,negative
567785481161953280,neutral,neutral
570295795985080320,negative,negative
570300817074462722,negative,negative
570035876845084672,negative,negative
569028851860254720,neutral,negative
570033593394667521,neutral,positive
568897315458691072,neutral,positive
567823564167192576,neutral,positive
569237252154372097,negative,negative
570257563003920384,negative,negative
569675144353828864,positive,positive
570066634976555008,negative,neutral
570104913390206976,negative,negative
570053417311342593,negative,negative
569630092273410048,negative,negative
568828648687591424,neutral,neutral
569348775631675392,negative,negative
570106249024446464,negative,neutral
569614365755899905,neutral,negative
568541317816561664,neutral,neutral
568632394929958912,positive,neutral
568845553104068609,neutral,neutral
567807967706488832,positive,positive
569982327654383616,negative,negative
569873669700358144,positive,positive
569971394701873153,negative,negative
570066391388172290,negative,negative
570297970891075584,neutral,neutral
570012706704662528,neutral,neutral
570247428139569152,negative,negative
568517447847780353,neutral,neutral
569627480425766912,negative,negative
568812046747201537,negative,negative
569202691185909760,neutral,positive
570294205999939584,negative,negative
569990163209850881,neutral,neutral
570298455068971008,negative,negative
570000614794489856,neutral,negative
569986029463011328,negative,negative
568781819233091584,neutral,neutral
570298018685165568,negative,negative
570091033368899584,negative,neutral
570000287080951808,negative,negative
569946362126602240,negative,negative
570099717314457600,negative,negative
570175513035214848,negative,negative
570229842626478081,negative,negative
570144025451339776,neutral,negative
570081552891125760,negative,negative
569608328998887424,negative,negative
568840560347373569,neutral,positive
570172921102143488,neutral,neutral
570232533272567813,negative,negative
569619569372823552,negative,negative
568833739192557569,neutral,neutral
570087270524411904,neutral,neutral
567972174398689280,negative,negative
570049743549833216,neutral,negative
570073969690169344,negative,neutral
569261347688607744,positive,positive
569200606595952640,negative,negative
569737603617943552,negative,negative
570057601976631296,negative,negative
570016198747758593,positive,positive
569873665640292353,positive,positive
569110766235877376,positive,positive
569999790328541184,negative,negative
569298165855338497,positive,positive
570015408788414464,negative,neutral
570014689322643456,negative,negative
570022345424834560,negative,negative
570258760200953856,neutral,positive
568142526110019584,neutral,neutral
570038991527002112,neutral,positive
570182980142022656,negative,negative
570099762709581824,neutral,neutral
569989321698074624,positive,neutral
570016325667557376,neutral,positive
568585196699664384,negative,negative
570298918971576320,negative,negative
570275462921850880,positive,negative
570037336886546432,positive,positive
570008443626647552,negative,negative
570092741654401024,negative,negative
568571772251082752,neutral,neutral
570160120698679296,negative,negative
569614024578600960,positive,positive
569182336715243520,negative,negative
568132204712370178,neutral,negative
569999529677852672,negative,negative
570232659282145280,negative,negative
570043937244622849,neutral,neutral
570219942961922048,negative,neutral
570002454839820288,negative,negative
569323106210152448,neutral,neutral
570175761468030977,negative,negative
567908796917420032,positive,positive
567899492885745664,neutral,neutral
570009035455344640,neutral,neutral
570257564023128064,neutral,neutral
