tweet_id,bert_pred,airline_sentiment
570306133677760513,neutral,neutral
570301130888122368,negative,positive
570301083672813571,negative,neutral
570301031407624196,negative,negative
570300817074462722,negative,negative
570300767074181121,negative,negative
570300616901320704,neutral,positive
570300248553349120,neutral,neutral
570299953286942721,neutral,positive
570295459631263746,positive,positive
570294189143031808,neutral,neutral
570289724453216256,positive,positive
570289584061480960,positive,positive
570287408438120448,neutral,positive
570285904809598977,positive,positive
570282469121007616,negative,negative
570277724385734656,positive,positive
570276917301137409,negative,negative
570270684619923457,positive,positive
570267956648792064,positive,positive
570265883513384960,negative,negative
570264145116819457,neutral,positive
570259420287868928,positive,positive
570258822297579520,neutral,neutral
570256553502068736,negative,negative
570249102404923392,negative,negative
570239632807370753,negative,negative
570217831557677057,neutral,neutral
570207886493782019,negative,negative
570124596180955136,negative,neutral
570114021854212096,negative,negative
570094701371469825,neutral,neutral
570088404156698625,negative,negative
570084582780899328,negative,negative
570076792993611776,neutral,positive
570051991277342720,neutral,neutral
570051381534396416,positive,positive
570045393565691904,positive,positive
570038941497192448,neutral,neutral
570035876845084672,neutral,negative
570033593394667521,neutral,positive
570025482344898560,negative,negative
570016304284901379,neutral,neutral
570015408788414464,neutral,neutral
570013523650048002,neutral,neutral
570012257549070337,positive,positive
570011341483843584,neutral,neutral
570010571707256832,positive,positive
570010539499393025,neutral,neutral
570009713447825408,neutral,neutral
570009035455344640,neutral,neutral
570006886012973056,neutral,positive
570004391731847169,neutral,neutral
570001194900426752,neutral,neutral
570000071644872704,neutral,neutral
569996412286582784,neutral,negative
569996245462159361,negative,positive
569990222609412097,positive,positive
569990163209850881,neutral,neutral
569989504431316993,neutral,neutral
569989321698074624,neutral,neutral
569989034501500928,negative,negative
569987622484848640,neutral,neutral
569986782567071744,neutral,neutral
569986348041547778,positive,positive
569982307634794497,negative,neutral
569976620158578688,neutral,negative
569973821396152323,neutral,negative
569972508499283968,neutral,positive
569967019958730753,negative,negative
569961866224652288,negative,neutral
569949891163615232,neutral,neutral
569948966873370625,neutral,neutral
569946362126602240,neutral,negative
569942903683813376,positive,positive
569941957490774016,neutral,positive
569940834994401280,neutral,neutral
569940323746516993,neutral,neutral
569935232033366017,neutral,negative
569934395865493504,negative,neutral
569933816963342337,negative,negative
569933777931145216,positive,positive
569933405506310144,negative,negative
569933360564342784,negative,negative
569929243146088448,negative,negative
569926998824394752,neutral,negative
569923394990419968,negative,neutral
569922008588222465,neutral,neutral
569920824905306113,neutral,neutral
569919041244147712,neutral,negative
569915941192015872,neutral,neutral
569913339427434496,neutral,neutral
569911816937033728,negative,negative
569911674158731264,negative,negative
569911218942517248,neutral,neutral
569910981868060673,negative,negative
569909224521641984,neutral,negative
569907336485019648,negative,negative
569896805611089920,negative,negative
569894449620369408,negative,negative
569894407001939968,neutral,neutral
569892199690678272,negative,negative
569891469210755074,neutral,neutral
569891436100874241,negative,negative
569887310713479168,negative,negative
569887049446076416,positive,positive
569884551712886785,negative,negative
569884407852437504,negative,negative
569881548515708928,neutral,neutral
569873669700358144,neutral,positive
569873668131717120,neutral,neutral
569873665640292353,neutral,positive
569873664612704256,neutral,neutral
569872058613673984,positive,positive
569861209781989377,neutral,positive
569847920192655361,negative,negative
569814339785338880,positive,positive
569777607371128834,positive,positive
569774078233419776,negative,positive
569770363623575552,negative,positive
569748316776325120,negative,negative
569741221783957504,negative,negative
569737603617943552,negative,negative
569714127792254976,positive,positive
569675144353828864,positive,positive
569674358135914496,neutral,neutral
569666477265018881,negative,negative
569652497947734017,positive,positive
569649116487290880,neutral,neutral
569643262459269120,negative,neutral
569642845516275712,negative,negative
569634318349246464,negative,negative
569633630978310145,neutral,neutral
569633279546036224,negative,negative
