tweet_id,predicted_sentiment,airline_sentiment
570306133677760513,neutral,neutral
570301130888122368,positive,positive
570301083672813571,negative,neutral
570301031407624196,negative,negative
570300817074462722,negative,negative
570300767074181121,negative,negative
570300616901320704,positive,positive
570300248553349120,neutral,neutral
570299953286942721,positive,positive
570295459631263746,negative,positive
570294189143031808,neutral,neutral
570289724453216256,positive,positive
570289584061480960,positive,positive
570287408438120448,positive,positive
570285904809598977,positive,positive
570282469121007616,negative,negative
570277724385734656,positive,positive
570276917301137409,negative,negative
570270684619923457,neutral,positive
570267956648792064,positive,positive
570265883513384960,negative,negative
570264145116819457,positive,positive
570259420287868928,positive,positive
570258822297579520,neutral,neutral
570256553502068736,negative,negative
570249102404923392,negative,negative
570239632807370753,negative,negative
570217831557677057,neutral,neutral
570207886493782019,negative,negative
570124596180955136,neutral,neutral
570114021854212096,positive,negative
570094701371469825,neutral,neutral
570088404156698625,negative,negative
570084582780899328,negative,negative
570076792993611776,positive,positive
570051991277342720,neutral,neutral
570051381534396416,positive,positive
570045393565691904,positive,positive
570038941497192448,neutral,neutral
570035876845084672,negative,negative
570033593394667521,positive,positive
570025482344898560,negative,negative
570016304284901379,neutral,neutral
570015408788414464,negative,neutral
570013523650048002,neutral,neutral
570012257549070337,positive,positive
570011341483843584,neutral,neutral
570010571707256832,positive,positive
570010539499393025,neutral,neutral
570009713447825408,neutral,neutral
570009035455344640,neutral,neutral
570006886012973056,positive,positive
570004391731847169,neutral,neutral
570001194900426752,neutral,neutral
570000071644872704,neutral,neutral
569996412286582784,negative,negative
569996245462159361,positive,positive
569990222609412097,positive,positive
569990163209850881,neutral,neutral
569989504431316993,neutral,neutral
569989321698074624,neutral,neutral
569989034501500928,negative,negative
569987622484848640,positive,neutral
569986782567071744,neutral,neutral
569986348041547778,positive,positive
569982307634794497,neutral,neutral
569976620158578688,negative,negative
569973821396152323,negative,negative
569972508499283968,positive,positive
569967019958730753,negative,negative
569961866224652288,neutral,neutral
569949891163615232,neutral,neutral
569948966873370625,neutral,neutral
569946362126602240,negative,negative
569942903683813376,positive,positive
569941957490774016,positive,positive
569940834994401280,neutral,neutral
569940323746516993,neutral,neutral
569935232033366017,negative,negative
569934395865493504,neutral,neutral
569933816963342337,negative,negative
569933777931145216,positive,positive
569933405506310144,positive,negative
569933360564342784,negative,negative
569929243146088448,negative,negative
569926998824394752,negative,negative
569923394990419968,neutral,neutral
569922008588222465,neutral,neutral
569920824905306113,neutral,neutral
569919041244147712,negative,negative
569915941192015872,neutral,neutral
569913339427434496,neutral,neutral
569911816937033728,negative,negative
569911674158731264,negative,negative
569911218942517248,negative,neutral
569910981868060673,negative,negative
569909224521641984,negative,negative
569907336485019648,negative,negative
569896805611089920,negative,negative
569894449620369408,negative,negative
569894407001939968,neutral,neutral
569892199690678272,negative,negative
569891469210755074,neutral,neutral
569891436100874241,negative,negative
569887310713479168,negative,negative
569887049446076416,positive,positive
569884551712886785,negative,negative
569884407852437504,negative,negative
569881548515708928,neutral,neutral
569873669700358144,positive,positive
569873668131717120,positive,neutral
569873665640292353,positive,positive
569873664612704256,positive,neutral
569872058613673984,positive,positive
569861209781989377,neutral,positive
569847920192655361,negative,negative
569814339785338880,positive,positive
569777607371128834,positive,positive
569774078233419776,negative,positive
569770363623575552,positive,positive
569748316776325120,negative,negative
569741221783957504,negative,negative
569737603617943552,negative,negative
569714127792254976,positive,positive
569675144353828864,positive,positive
569674358135914496,neutral,neutral
569666477265018881,negative,negative
569652497947734017,positive,positive
569649116487290880,neutral,neutral
569643262459269120,neutral,neutral
569642845516275712,negative,negative
569634318349246464,negative,negative
569633630978310145,neutral,neutral
569633279546036224,negative,negative
569630092273410048,negative,negative
569627480425766912,negative,negative
569625739231948800,positive,positive
569625609799774208,neutral,neutral
569620102389350401,positive,positive
569619569372823552,negative,negative
569618527948115968,negative,negative
569616490380439552,positive,positive
569615109363929088,neutral,neutral
569614365755899905,negative,negative
569614024578600960,positive,positive
569609971383586817,negative,negative
569608328998887424,neutral,negative
569599867716132864,positive,positive
569596445680115712,positive,positive
569596097540132864,negative,negative
569594386066984960,negative,negative
569586660909973504,neutral,neutral
569580805036453888,positive,positive
569575679722786816,neutral,neutral
569575003248676864,neutral,neutral
569574973662232576,neutral,neutral
569574961158815745,neutral,neutral
569572942381649920,negative,negative
569572740723712001,negative,negative
569566981835218944,negative,negative
569564853460807680,negative,negative
569564610837086209,negative,negative
569562202405019650,negative,negative
569541127340040192,negative,negative
569540405676654592,negative,negative
569494748341407744,negative,negative
569482263345307648,neutral,neutral
569477692166316033,negative,negative
569461469042966528,negative,negative
569459618881019905,neutral,neutral
569452063920226304,neutral,neutral
569447071910105089,neutral,neutral
569429411646156800,neutral,neutral
569369239183872000,negative,negative
569368160291463168,negative,negative
569356387785900032,neutral,neutral
569354267854704641,positive,positive
569351220097216512,negative,negative
569348775631675392,negative,negative
569324558999691264,neutral,neutral
569323106210152448,neutral,neutral
569323082701275138,negative,negative
569318651502989312,negative,negative
569318130356502528,positive,positive
569316358845911040,positive,positive
569311498301870080,neutral,neutral
569311060903268352,negative,negative
569310635986546688,negative,negative
569305113589714944,neutral,neutral
569304436612444160,positive,positive
569304208534597632,positive,neutral
569304030847090688,negative,negative
569303931916038144,negative,negative
569298165855338497,positive,positive
569290361870426112,negative,negative
569282249717194754,negative,negative
569277854950817792,negative,negative
569277352129138688,negative,negative
569263837448269826,negative,negative
569262527281913857,positive,positive
569262225900359680,negative,negative
569261347688607744,positive,positive
569261128532041728,neutral,neutral
569260526976544768,positive,positive
569253311813185537,positive,positive
569253236093267969,positive,positive
569250469178175488,positive,positive
569248437050302464,neutral,neutral
569248400836726786,positive,positive
569247769166266368,negative,negative
569247394002563072,negative,negative
569244860286263297,negative,negative
569240250192670720,positive,positive
569238877178716161,negative,negative
569237252154372097,negative,negative
569236471690829825,neutral,neutral
569236251129163777,negative,negative
569230983075115010,neutral,negative
569229785500680192,negative,negative
569226875349835776,negative,negative
569224234150404096,negative,negative
569223788639821824,negative,negative
569222494952886272,positive,positive
569221440794271745,positive,positive
569221156504530944,negative,negative
569220232293720066,neutral,neutral
569218762907324416,negative,negative
569212570478911489,neutral,positive
569211675108179968,negative,negative
569209566715469824,positive,positive
569208480793567233,positive,positive
569205125278859265,positive,positive
569204272795004928,negative,negative
569202691185909760,negative,positive
569201943131738113,positive,positive
569200619430420480,positive,positive
569200606595952640,negative,negative
569198782421663745,neutral,negative
569198104806699008,positive,positive
569197967959154688,positive,positive
569197611393163264,neutral,neutral
569197515993534464,neutral,neutral
569192778468626432,negative,negative
569182336715243520,negative,negative
569180623165915137,neutral,positive
569179517522046977,negative,negative
569176777056079874,positive,positive
569165709516759042,positive,positive
569110766235877376,positive,positive
569083230361673728,negative,negative
569028851860254720,negative,negative
569022319437357056,negative,negative
569020707113476096,positive,positive
569018352464588800,neutral,neutral
569011849976348672,positive,positive
568989005162766337,neutral,neutral
568977439398821888,neutral,neutral
568977175149293570,neutral,neutral
568972394297077760,positive,positive
568945958970531840,negative,negative
568945265899483136,neutral,neutral
568943244027006976,neutral,neutral
568942331921092608,negative,negative
568940002849255425,negative,negative
568929979981033472,positive,positive
568929026644975616,negative,negative
568928741298012160,negative,negative
568928605226426370,neutral,neutral
568926018049691648,neutral,neutral
568923762764095488,positive,positive
568920614716600320,neutral,neutral
568920221882257408,neutral,neutral
568911350656675841,positive,positive
568910590921609216,positive,positive
568901823215448064,negative,negative
568898405189038080,neutral,neutral
568897315458691072,neutral,positive
568890074164809728,positive,positive
568890062286385153,neutral,neutral
568884848632279041,neutral,neutral
568882014415249408,negative,negative
568874645564362752,positive,positive
568868127364096000,negative,negative
568867068331864064,neutral,neutral
568865011717705730,neutral,neutral
568864815654899712,neutral,neutral
568855933360607232,neutral,neutral
568853685855334400,negative,negative
568850967673896960,negative,negative
568850943359496192,negative,negative
568847512372514816,neutral,neutral
568845553104068609,neutral,neutral
568840724700995584,negative,negative
568840560347373569,positive,positive
568838020041809920,neutral,neutral
568837602071203840,neutral,neutral
568833739192557569,neutral,neutral
568830466830151680,neutral,neutral
568830133626253312,negative,negative
568828648687591424,neutral,neutral
568828112626012160,neutral,neutral
568824637267685377,negative,negative
